"season","team_id","wins","losses"
2002,1,33,49
2002,2,49,33
2002,3,44,38
2002,4,21,61
2002,5,29,53
2002,6,57,25
2002,7,27,55
2002,8,50,32
2002,9,21,61
2002,10,28,54
2002,11,42,40
2002,12,39,43
2002,13,58,24
2002,14,36,46
2002,15,41,41
2002,16,50,32
2002,17,52,30
2002,18,30,52
2002,19,44,38
2002,20,43,39
2002,21,36,46
2002,22,49,33
2002,23,61,21
2002,24,58,24
2002,25,45,37
2002,26,44,38
2002,27,37,45
2002,28,42,40
2002,29,23,59
2003,1,35,47
2003,2,44,38
2003,3,47,35
2003,4,30,52
2003,5,17,65
2003,6,60,22
2003,7,17,65
2003,8,50,32
2003,9,38,44
2003,10,43,39
2003,11,48,34
2003,12,27,55
2003,13,50,32
2003,14,25,57
2003,15,42,40
2003,16,51,31
2003,17,49,33
2003,18,37,45
2003,19,42,40
2003,20,48,34
2003,21,44,38
2003,22,50,32
2003,23,59,23
2003,24,60,22
2003,25,40,42
2003,26,47,35
2003,27,37,45
2003,28,24,58
2003,29,28,54
2004,1,28,54
2004,2,36,46
2004,3,41,41
2004,4,23,59
2004,5,35,47
2004,6,52,30
2004,7,43,39
2004,8,54,28
2004,9,37,45
2004,10,45,37
2004,11,61,21
2004,12,28,54
2004,13,56,26
2004,14,42,40
2004,15,41,41
2004,16,58,24
2004,17,47,35
2004,18,39,43
2004,19,21,61
2004,20,33,49
2004,21,29,53
2004,22,41,41
2004,23,55,27
2004,24,57,25
2004,25,37,45
2004,26,42,40
2004,27,25,57
2004,28,33,49
2004,29,50,32
2005,1,13,69
2005,2,45,37
2005,3,18,64
2005,4,47,35
2005,5,42,40
2005,6,58,24
2005,7,49,33
2005,8,54,28
2005,9,34,48
2005,10,51,31
2005,11,44,38
2005,12,37,45
2005,13,34,48
2005,14,59,23
2005,15,30,52
2005,16,44,38
2005,17,42,40
2005,18,33,49
2005,19,36,46
2005,20,43,39
2005,21,62,20
2005,22,27,55
2005,23,50,32
2005,24,59,23
2005,25,52,30
2005,26,26,56
2005,27,45,37
2005,28,33,49
2005,29,45,37
2005,30,18,64
2006,1,26,56
2006,2,33,49
2006,3,38,44
2006,4,41,41
2006,5,50,32
2006,6,60,22
2006,7,44,38
2006,8,64,18
2006,9,34,48
2006,10,34,48
2006,11,41,41
2006,12,47,35
2006,13,45,37
2006,14,52,30
2006,15,40,42
2006,16,33,49
2006,17,49,33
2006,18,23,59
2006,19,36,46
2006,20,38,44
2006,21,54,28
2006,22,21,61
2006,23,44,38
2006,24,63,19
2006,25,35,47
2006,26,41,41
2006,27,42,40
2006,28,27,55
2006,29,49,33
2006,30,26,56
2007,1,30,52
2007,2,24,58
2007,3,39,43
2007,4,49,33
2007,5,50,32
2007,6,67,15
2007,7,45,37
2007,8,53,29
2007,9,42,40
2007,10,52,30
2007,11,35,47
2007,12,40,42
2007,13,42,40
2007,14,44,38
2007,15,28,54
2007,16,32,50
2007,17,41,41
2007,18,33,49
2007,19,40,42
2007,20,35,47
2007,21,61,21
2007,22,32,50
2007,23,33,49
2007,24,58,24
2007,25,31,51
2007,26,51,31
2007,27,41,41
2007,28,47,35
2007,29,22,60
2007,30,33,49
2008,1,37,45
2008,2,66,16
2008,3,56,26
2008,4,33,49
2008,5,45,37
2008,6,51,31
2008,7,50,32
2008,8,59,23
2008,9,48,34
2008,10,55,27
2008,11,36,46
2008,12,23,59
2008,13,57,25
2008,14,15,67
2008,15,26,56
2008,16,22,60
2008,17,34,48
2008,18,23,59
2008,19,52,30
2008,20,40,42
2008,21,55,27
2008,22,41,41
2008,23,38,44
2008,24,56,26
2008,25,20,62
2008,26,54,28
2008,27,43,39
2008,28,41,41
2008,29,22,60
2008,30,32,50
2009,1,47,35
2009,2,62,20
2009,3,49,33
2009,4,41,41
2009,5,66,16
2009,6,50,32
2009,7,54,28
2009,8,39,43
2009,9,29,53
2009,10,53,29
2009,11,36,46
2009,12,19,63
2009,13,65,17
2009,14,43,39
2009,15,34,48
2009,16,24,58
2009,17,34,48
2009,18,32,50
2009,19,59,23
2009,20,41,41
2009,21,46,36
2009,22,54,28
2009,23,17,65
2009,24,54,28
2009,25,23,59
2009,26,48,34
2009,27,19,63
2009,28,33,49
2009,29,24,58
2009,30,35,47
2010,1,53,29
2010,2,50,32
2010,3,37,45
2010,4,41,41
2010,5,61,21
2010,6,55,27
2010,7,53,29
2010,8,27,55
2010,9,26,56
2010,10,42,40
2010,11,32,50
2010,12,29,53
2010,13,57,25
2010,14,47,35
2010,15,46,36
2010,16,15,67
2010,17,12,70
2010,18,29,53
2010,19,59,23
2010,20,27,55
2010,21,54,28
2010,22,50,32
2010,23,25,57
2010,24,50,32
2010,25,50,32
2010,26,53,29
2010,27,26,56
2010,28,40,42
2010,29,40,42
2010,30,44,38
2011,1,44,38
2011,2,56,26
2011,3,46,36
2011,4,62,20
2011,5,19,63
2011,6,57,25
2011,7,50,32
2011,8,30,52
2011,9,36,46
2011,10,43,39
2011,11,37,45
2011,12,32,50
2011,13,57,25
2011,14,58,24
2011,15,35,47
2011,16,17,65
2011,17,24,58
2011,18,42,40
2011,19,52,30
2011,20,41,41
2011,21,40,42
2011,22,48,34
2011,23,24,58
2011,24,61,21
2011,25,55,27
2011,26,39,43
2011,27,23,59
2011,28,22,60
2011,29,46,36
2011,30,34,48
2012,1,40,26
2012,2,39,27
2012,3,21,45
2012,4,50,16
2012,5,21,45
2012,6,36,30
2012,7,38,28
2012,8,25,41
2012,9,23,43
2012,10,34,32
2012,11,42,24
2012,12,40,26
2012,13,41,25
2012,14,46,20
2012,15,31,35
2012,16,26,40
2012,17,22,44
2012,18,36,30
2012,19,37,29
2012,20,35,31
2012,21,33,33
2012,22,28,38
2012,23,22,44
2012,24,50,16
2012,25,47,19
2012,26,36,30
2012,27,20,46
2012,28,23,43
2012,29,41,25
2012,30,7,59
2013,1,44,38
2013,2,41,40
2013,3,27,54
2013,4,45,37
2013,5,24,57
2013,6,41,40
2013,7,57,25
2013,8,29,52
2013,9,46,35
2013,10,45,37
2013,11,49,32
2013,12,56,26
2013,13,44,37
2013,14,65,16
2013,15,37,44
2013,16,31,51
2013,17,49,33
2013,18,54,28
2013,19,20,62
2013,20,34,48
2013,21,25,57
2013,22,32,49
2013,23,28,54
2013,24,58,24
2013,25,60,21
2013,26,43,39
2013,27,29,53
2013,28,34,48
2013,29,56,26
2013,30,21,61
2013,31,0,1
2013,32,1,0
2014,1,38,44
2014,2,25,57
2014,3,34,48
2014,4,48,34
2014,5,33,49
2014,6,49,33
2014,7,36,46
2014,8,29,53
2014,9,51,31
2014,10,54,28
2014,11,55,26
2014,12,57,25
2014,13,27,55
2014,14,54,28
2014,15,15,67
2014,16,40,42
2014,17,44,38
2014,18,37,45
2014,19,23,59
2014,20,19,63
2014,21,48,34
2014,22,54,28
2014,23,28,54
2014,24,62,20
2014,25,59,23
2014,26,25,57
2014,27,44,38
2014,28,48,34
2014,29,50,32
2014,30,43,38
2014,31,1,0
2014,32,0,1
2015,1,60,22
2015,2,40,42
2015,3,45,37
2015,4,50,32
2015,5,53,29
2015,6,50,32
2015,7,30,52
2015,8,32,50
2015,9,67,15
2015,10,56,26
2015,11,38,44
2015,12,56,26
2015,13,21,61
2015,14,37,45
2015,15,41,41
2015,16,16,66
2015,17,38,44
2015,18,17,65
2015,19,25,57
2015,20,18,64
2015,21,39,43
2015,22,51,31
2015,23,29,53
2015,24,55,27
2015,25,45,37
2015,26,38,44
2015,27,46,36
2015,28,49,33
2015,29,55,27
2015,30,33,49
2015,31,0,1
2015,32,1,0
2016,1,48,34
2016,2,48,34
2016,3,30,52
2016,4,42,40
2016,5,57,25
2016,6,42,40
2016,7,33,49
2016,8,44,38
2016,9,73,9
2016,10,41,41
2016,11,45,37
2016,12,53,29
2016,13,17,65
2016,14,48,34
2016,15,33,49
2016,16,29,53
2016,17,21,61
2016,18,32,50
2016,19,35,47
2016,20,10,72
2016,21,23,59
2016,22,44,38
2016,23,33,49
2016,24,67,15
2016,25,55,27
2016,26,40,42
2016,27,41,41
2016,28,56,26
2016,29,42,40
2016,30,48,34
2016,31,0,1
2016,32,1,0
2017,1,42,39
2017,2,53,29
2017,3,34,48
2017,4,41,41
2017,5,51,31
2017,6,33,49
2017,7,40,42
2017,8,37,45
2017,9,67,15
2017,10,55,27
2017,11,42,40
2017,12,51,31
2017,13,26,56
2017,14,41,41
2017,15,42,40
2017,16,31,51
2017,17,20,62
2017,18,31,50
2017,19,29,53
2017,20,28,54
2017,21,24,58
2017,22,41,41
2017,23,32,50
2017,24,61,21
2017,25,47,35
2017,26,51,31
2017,27,49,33
2017,28,51,31
2017,29,43,39
2017,30,36,46
2017,31,0,1
2017,32,1,0
2018,1,24,58
2018,2,54,27
2018,3,48,33
2018,4,27,54
2018,5,49,32
2018,6,24,58
2018,7,46,36
2018,8,39,43
2018,9,58,24
2018,10,65,17
2018,11,48,34
2018,12,42,40
2018,13,35,47
2018,14,44,38
2018,15,44,38
2018,16,47,35
2018,17,28,53
2018,18,29,53
2018,19,25,57
2018,20,50,30
2018,21,21,61
2018,22,49,33
2018,23,27,55
2018,24,47,35
2018,25,48,34
2018,26,48,34
2018,27,43,39
2018,28,59,23
2018,29,22,60
2018,30,36,45
2018,111353,1,0
2018,111354,0,1
2018,111386,1,0
2018,111387,0,1
2019,1,29,53
2019,2,49,33
2019,3,33,49
2019,4,22,60
2019,5,19,63
2019,6,33,49
2019,7,54,28
2019,8,41,41
2019,9,57,25
2019,10,53,29
2019,11,48,34
2019,12,48,34
2019,13,37,45
2019,14,39,43
2019,15,60,22
2019,16,36,46
2019,17,42,40
2019,18,17,64
2019,19,42,40
2019,20,51,31
2019,21,19,63
2019,22,53,29
2019,23,39,43
2019,24,48,34
2019,25,49,33
2019,26,50,32
2019,27,32,50
2019,28,57,24
2019,29,33,49
2019,30,39,43
2019,111353,1,0
2019,111386,0,1
2019,111387,1,0
2019,112151,0,1
2020,1,20,47
2020,2,48,24
2020,3,30,42
2020,4,22,43
2020,5,19,45
2020,6,43,32
2020,7,46,27
2020,8,19,46
2020,9,15,50
2020,10,44,28
2020,11,45,28
2020,12,49,23
2020,13,52,19
2020,14,44,29
2020,15,55,17
2020,16,19,44
2020,17,35,37
2020,18,21,44
2020,19,33,40
2020,20,43,30
2020,21,34,39
2020,22,35,39
2020,23,31,41
2020,24,32,38
2020,25,43,28
2020,26,44,28
2020,27,25,47
2020,28,52,19
2020,29,34,39
2020,30,23,42
2020,111353,1,0
2020,111386,0,1
2020,111387,1,0
2020,112151,0,1
2021,1,41,31
2021,2,36,36
2021,3,31,41
2021,4,31,41
2021,5,22,50
2021,6,42,30
2021,7,47,25
2021,8,20,52
2021,9,39,33
2021,10,17,55
2021,11,34,38
2021,12,47,25
2021,13,42,30
2021,14,40,32
2021,15,46,26
2021,16,23,49
2021,17,48,24
2021,18,41,31
2021,19,21,51
2021,20,49,23
2021,21,51,21
2021,22,42,30
2021,23,31,41
2021,24,33,39
2021,25,22,50
2021,26,52,20
2021,27,34,38
2021,28,27,45
2021,29,38,34
2021,30,33,39
2021,111353,1,0
2021,123554,0,1
2022,1,43,39
2022,2,51,31
2022,3,36,46
2022,4,46,36
2022,5,44,38
2022,6,52,30
2022,7,48,34
2022,8,23,59
2022,9,53,29
2022,10,20,62
2022,11,25,57
2022,12,42,40
2022,13,33,49
2022,14,53,29
2022,15,51,31
2022,16,46,36
2022,17,44,38
2022,18,37,45
2022,19,22,60
2022,20,51,31
2022,21,64,18
2022,22,27,55
2022,23,30,52
2022,24,34,48
2022,25,24,58
2022,26,49,33
2022,27,35,47
2022,28,48,34
2022,29,56,26
2022,30,43,39
2022,111353,1,0
2022,123554,0,1
2023,1,39,39
2023,2,54,24
2023,3,40,38
2023,4,38,40
2023,5,49,30
2023,6,37,42
2023,7,52,26
2023,8,16,62
2023,9,41,38
2023,10,19,60
2023,11,34,45
2023,12,41,38
2023,13,40,38
2023,14,41,37
2023,15,56,22
2023,16,39,40
2023,17,43,35
2023,18,46,33
2023,19,34,44
2023,20,51,27
2023,21,43,35
2023,22,33,45
2023,23,47,31
2023,24,20,58
2023,25,38,41
2023,26,36,42
2023,27,34,44
2023,28,39,39
2023,29,49,29
2023,30,26,53
2023,111353,0,1
2023,112151,1,0
